# MW frequency [MHz],Photon counts number
2880.000,19292393
2880.029,19293357
2880.059,19294966
2880.088,19290397
2880.117,19289832
2880.147,19286449
2880.176,19288542
2880.205,19290841
2880.235,19287206
2880.264,19287826
2880.293,19284548
2880.323,19291482
2880.352,19287297
2880.381,19288674
2880.411,19289600
2880.440,19289996
2880.469,19289640
2880.499,19293712
2880.528,19291704
2880.557,19291843
2880.587,19290873
2880.616,19287899
2880.645,19286933
2880.674,19288945
2880.704,19290415
2880.733,19292047
2880.762,19287510
2880.792,19288665
2880.821,19286700
2880.850,19283138
2880.880,19287299
2880.909,19287113
2880.938,19294426
2880.968,19282295
2880.997,19287599
2881.026,19286069
2881.056,19287487
2881.085,19280425
2881.114,19283239
2881.144,19289514
2881.173,19287657
2881.202,19285086
2881.232,19282301
2881.261,19288928
2881.290,19283918
2881.320,19288723
2881.349,19287165
2881.378,19282812
2881.408,19285086
2881.437,19285033
2881.466,19284448
2881.496,19287285
2881.525,19284941
2881.554,19283325
2881.584,19283582
2881.613,19278167
2881.642,19288958
2881.672,19285334
2881.701,19294429
2881.730,19280448
2881.760,19282947
2881.789,19282111
2881.818,19278774
2881.848,19284221
2881.877,19280431
2881.906,19283370
2881.935,19282802
2881.965,19286587
2881.994,19285673
2882.023,19281385
2882.053,19284337
2882.082,19286897
2882.111,19285111
2882.141,19283465
2882.170,19284946
2882.199,19278231
2882.229,19286127
2882.258,19282465
2882.287,19279233
2882.317,19286222
2882.346,19282305
2882.375,19283594
2882.405,19282241
2882.434,19277935
2882.463,19282547
2882.493,19287969
2882.522,19282861
2882.551,19278700
2882.581,19281198
2882.610,19283356
2882.639,19280253
2882.669,19283152
2882.698,19280516
2882.727,19280397
2882.757,19281934
2882.786,19287980
2882.815,19275915
2882.845,19278223
2882.874,19279079
2882.903,19283706
2882.933,19277765
2882.962,19279846
2882.991,19283196
2883.021,19274861
2883.050,19273329
2883.079,19279330
2883.109,19281549
2883.138,19279954
2883.167,19276676
2883.196,19279676
2883.226,19280089
2883.255,19278023
2883.284,19278830
2883.314,19279374
2883.343,19273839
2883.372,19277737
2883.402,19279233
2883.431,19273469
2883.460,19280903
2883.490,19275796
2883.519,19277225
2883.548,19284283
2883.578,19277516
2883.607,19276088
2883.636,19273995
2883.666,19278327
2883.695,19273864
2883.724,19282589
2883.754,19278084
2883.783,19278447
2883.812,19275105
2883.842,19273760
2883.871,19278448
2883.900,19272332
2883.930,19273197
2883.959,19279353
2883.988,19278674
2884.018,19278735
2884.047,19276792
2884.076,19273387
2884.106,19275615
2884.135,19276022
2884.164,19279280
2884.194,19272056
2884.223,19273863
2884.252,19275779
2884.282,19273448
2884.311,19273483
2884.340,19279142
2884.370,19275952
2884.399,19275383
2884.428,19277382
2884.457,19273601
2884.487,19276095
2884.516,19271959
2884.545,19268327
2884.575,19276302
2884.604,19272415
2884.633,19269758
2884.663,19273411
2884.692,19271067
2884.721,19274533
2884.751,19270354
2884.780,19277063
2884.809,19273719
2884.839,19276260
2884.868,19274248
2884.897,19273859
2884.927,19265007
2884.956,19273584
2884.985,19273244
2885.015,19272640
2885.044,19273275
2885.073,19273508
2885.103,19271485
2885.132,19274460
2885.161,19263193
2885.191,19271182
2885.220,19271508
2885.249,19270753
2885.279,19267367
2885.308,19268750
2885.337,19264353
2885.367,19273279
2885.396,19268366
2885.425,19271064
2885.455,19268899
2885.484,19264517
2885.513,19268612
2885.543,19268467
2885.572,19264025
2885.601,19261631
2885.630,19267685
2885.660,19265757
2885.689,19268605
2885.718,19266826
2885.748,19260490
2885.777,19264281
2885.806,19268567
2885.836,19269327
2885.865,19270146
2885.894,19264573
2885.924,19267399
2885.953,19268970
2885.982,19268783
2886.012,19272649
2886.041,19261855
2886.070,19266399
2886.100,19265474
2886.129,19270049
2886.158,19260471
2886.188,19262668
2886.217,19261446
2886.246,19270066
2886.276,19266067
2886.305,19264382
2886.334,19263364
2886.364,19266098
2886.393,19263497
2886.422,19265264
2886.452,19267935
2886.481,19266155
2886.510,19265078
2886.540,19260468
2886.569,19264019
2886.598,19259656
2886.628,19266667
2886.657,19262000
2886.686,19268858
2886.716,19264621
2886.745,19263415
2886.774,19265718
2886.804,19266127
2886.833,19261094
2886.862,19263622
2886.891,19260551
2886.921,19261503
2886.950,19261671
2886.979,19265036
2887.009,19261336
2887.038,19262442
2887.067,19256370
2887.097,19260764
2887.126,19260028
2887.155,19258935
2887.185,19261453
2887.214,19259871
2887.243,19261060
2887.273,19263321
2887.302,19256516
2887.331,19259399
2887.361,19259116
2887.390,19262785
2887.419,19264714
2887.449,19256415
2887.478,19260574
2887.507,19261550
2887.537,19259154
2887.566,19257551
2887.595,19259437
2887.625,19266058
2887.654,19262000
2887.683,19255973
2887.713,19255960
2887.742,19260481
2887.771,19257303
2887.801,19261579
2887.830,19256091
2887.859,19256834
2887.889,19255054
2887.918,19259822
2887.947,19256185
2887.977,19265701
2888.006,19257899
2888.035,19257737
2888.065,19257257
2888.094,19257568
2888.123,19257746
2888.152,19262694
2888.182,19254306
2888.211,19252698
2888.240,19256071
2888.270,19257138
2888.299,19250526
2888.328,19257633
2888.358,19259127
2888.387,19253883
2888.416,19255670
2888.446,19252134
2888.475,19253484
2888.504,19253152
2888.534,19251544
2888.563,19252836
2888.592,19254402
2888.622,19252080
2888.651,19253136
2888.680,19249072
2888.710,19259172
2888.739,19253168
2888.768,19251237
2888.798,19250711
2888.827,19253480
2888.856,19256124
2888.886,19254236
2888.915,19250686
2888.944,19251146
2888.974,19256761
2889.003,19252540
2889.032,19251748
2889.062,19253062
2889.091,19252513
2889.120,19249342
2889.150,19250139
2889.179,19252584
2889.208,19256033
2889.238,19245584
2889.267,19251776
2889.296,19246387
2889.326,19249570
2889.355,19248290
2889.384,19251034
2889.413,19248093
2889.443,19249965
2889.472,19248672
2889.501,19244611
2889.531,19247852
2889.560,19249569
2889.589,19251418
2889.619,19245741
2889.648,19253862
2889.677,19247970
2889.707,19252039
2889.736,19246691
2889.765,19246029
2889.795,19248436
2889.824,19248303
2889.853,19249611
2889.883,19246362
2889.912,19246316
2889.941,19251803
2889.971,19243706
2890.000,19245157
2890.029,19242856
2890.059,19243366
2890.088,19242540
2890.117,19248691
2890.147,19246971
2890.176,19241404
2890.205,19241697
2890.235,19241400
2890.264,19244171
2890.293,19236749
2890.323,19243099
2890.352,19244406
2890.381,19241684
2890.411,19244678
2890.440,19241708
2890.469,19238071
2890.499,19242598
2890.528,19236954
2890.557,19237086
2890.587,19240935
2890.616,19239101
2890.645,19240018
2890.674,19247514
2890.704,19239169
2890.733,19239359
2890.762,19242935
2890.792,19245085
2890.821,19239209
2890.850,19241771
2890.880,19237408
2890.909,19239411
2890.938,19242387
2890.968,19235387
2890.997,19244627
2891.026,19238795
2891.056,19244235
2891.085,19241262
2891.114,19238595
2891.144,19237701
2891.173,19236587
2891.202,19243037
2891.232,19237263
2891.261,19240616
2891.290,19241119
2891.320,19237857
2891.349,19237658
2891.378,19237470
2891.408,19234438
2891.437,19240477
2891.466,19232234
2891.496,19234872
2891.525,19239946
2891.554,19234529
2891.584,19231241
2891.613,19238767
2891.642,19233869
2891.672,19237531
2891.701,19238359
2891.730,19236352
2891.760,19235521
2891.789,19230756
2891.818,19238556
2891.848,19235736
2891.877,19236749
2891.906,19241830
2891.935,19239394
2891.965,19243328
2891.994,19240530
2892.023,19238087
2892.053,19235320
2892.082,19236283
2892.111,19234958
2892.141,19239772
2892.170,19231003
2892.199,19236162
2892.229,19235754
2892.258,19231531
2892.287,19233476
2892.317,19233676
2892.346,19240111
2892.375,19231731
2892.405,19235606
2892.434,19235647
2892.463,19233829
2892.493,19230003
2892.522,19230334
2892.551,19236535
2892.581,19239930
2892.610,19236261
2892.639,19232992
2892.669,19239824
2892.698,19238109
2892.727,19233166
2892.757,19231860
2892.786,19235700
2892.815,19241945
2892.845,19239480
2892.874,19234363
2892.903,19238390
2892.933,19228155
2892.962,19235241
2892.991,19228371
2893.021,19236398
2893.050,19240960
2893.079,19233480
2893.109,19238056
2893.138,19237450
2893.167,19240873
2893.196,19228370
2893.226,19237122
2893.255,19240691
2893.284,19240729
2893.314,19239237
2893.343,19235569
2893.372,19235195
2893.402,19234476
2893.431,19231736
2893.460,19234339
2893.490,19235040
2893.519,19236591
2893.548,19235926
2893.578,19239469
2893.607,19240186
2893.636,19236101
2893.666,19232978
2893.695,19236208
2893.724,19239082
2893.754,19238064
2893.783,19234170
2893.812,19243635
2893.842,19241047
2893.871,19238429
2893.900,19242284
2893.930,19242317
2893.959,19244032
2893.988,19238793
2894.018,19234366
2894.047,19242691
2894.076,19245194
2894.106,19242301
2894.135,19236445
2894.164,19243283
2894.194,19241547
2894.223,19238917
2894.252,19243975
2894.282,19247751
2894.311,19246522
2894.340,19240624
2894.370,19238851
2894.399,19239098
2894.428,19243197
2894.457,19241018
2894.487,19244773
2894.516,19242859
2894.545,19239735
2894.575,19240969
2894.604,19240480
2894.633,19249770
2894.663,19242254
2894.692,19241890
2894.721,19244304
2894.751,19248429
2894.780,19249161
2894.809,19247265
2894.839,19245424
2894.868,19243455
2894.897,19246995
2894.927,19245634
2894.956,19249157
2894.985,19248432
2895.015,19253359
2895.044,19246841
2895.073,19247965
2895.103,19247945
2895.132,19248233
2895.161,19242815
2895.191,19250068
2895.220,19249426
2895.249,19255456
2895.279,19250076
2895.308,19252507
2895.337,19248473
2895.367,19245841
2895.396,19250016
2895.425,19252090
2895.455,19256831
2895.484,19253303
2895.513,19251531
2895.543,19255086
2895.572,19255501
2895.601,19253852
2895.630,19252366
2895.660,19255648
2895.689,19251030
2895.718,19252314
2895.748,19248189
2895.777,19254280
2895.806,19256888
2895.836,19259004
2895.865,19256051
2895.894,19256124
2895.924,19256380
2895.953,19255027
2895.982,19253307
2896.012,19263153
2896.041,19253279
2896.070,19258186
2896.100,19259087
2896.129,19260859
2896.158,19257554
2896.188,19257069
2896.217,19252975
2896.246,19254285
2896.276,19260752
2896.305,19262849
2896.334,19264755
2896.364,19257201
2896.393,19258403
2896.422,19258229
2896.452,19258940
2896.481,19260038
2896.510,19262375
2896.540,19260921
2896.569,19259518
2896.598,19266557
2896.628,19266055
2896.657,19258098
2896.686,19261683
2896.716,19260635
2896.745,19267144
2896.774,19266172
2896.804,19267182
2896.833,19257164
2896.862,19261139
2896.891,19264525
2896.921,19271215
2896.950,19269338
2896.979,19266928
2897.009,19270174
2897.038,19270312
2897.067,19266528
2897.097,19262624
2897.126,19267439
2897.155,19267144
2897.185,19264499
2897.214,19268658
2897.243,19271427
2897.273,19268463
2897.302,19268389
2897.331,19274397
2897.361,19263905
2897.390,19272472
2897.419,19274967
2897.449,19266468
2897.478,19277215
2897.507,19267733
2897.537,19275824
2897.566,19268126
2897.595,19271713
2897.625,19273072
2897.654,19274001
2897.683,19269380
2897.713,19275372
2897.742,19273681
2897.771,19271626
2897.801,19265632
2897.830,19267950
2897.859,19269822
2897.889,19276726
2897.918,19269369
2897.947,19274397
2897.977,19278576
2898.006,19276457
2898.035,19279914
2898.065,19275963
2898.094,19278145
2898.123,19269214
2898.152,19281695
2898.182,19273602
2898.211,19280040
2898.240,19276184
2898.270,19277438
2898.299,19271514
2898.328,19272291
2898.358,19279394
2898.387,19278859
2898.416,19280335
2898.446,19273479
2898.475,19277623
2898.504,19280724
2898.534,19280800
2898.563,19275385
2898.592,19276310
2898.622,19273315
2898.651,19276041
2898.680,19280578
2898.710,19282052
2898.739,19276475
2898.768,19280791
2898.798,19282225
2898.827,19280124
2898.856,19278715
2898.886,19279787
2898.915,19279715
2898.944,19284239
2898.974,19280202
2899.003,19280271
2899.032,19277752
2899.062,19276742
2899.091,19280632
2899.120,19279290
2899.150,19285599
2899.179,19275891
2899.208,19283324
2899.238,19284843
2899.267,19283287
2899.296,19282411
2899.326,19285095
2899.355,19280540
2899.384,19283972
2899.413,19285477
2899.443,19278224
2899.472,19289151
2899.501,19285187
2899.531,19281276
2899.560,19282581
2899.589,19282047
2899.619,19281455
2899.648,19283276
2899.677,19284573
2899.707,19287048
2899.736,19281779
2899.765,19283835
2899.795,19289214
2899.824,19283434
2899.853,19287224
2899.883,19280421
2899.912,19283012
2899.941,19284397
2899.971,19287723
2900.000,19283371
2900.029,19289170
2900.059,19286848
2900.088,19287800
2900.117,19285437
2900.147,19290346
2900.176,19285796
2900.205,19287002
2900.235,19284487
2900.264,19284863
2900.293,19287235
2900.323,19285802
2900.352,19290477
2900.381,19286662
2900.411,19292241
2900.440,19287183
2900.469,19285575
2900.499,19284679
2900.528,19294998
2900.557,19284515
2900.587,19288483
2900.616,19284127
2900.645,19285011
2900.674,19288021
2900.704,19288298
2900.733,19283684
2900.762,19290424
2900.792,19284784
2900.821,19288053
2900.850,19287292
2900.880,19289406
2900.909,19287788
2900.938,19287620
2900.968,19286034
2900.997,19285819
2901.026,19287915
2901.056,19288513
2901.085,19284612
2901.114,19281474
2901.144,19286077
2901.173,19288865
2901.202,19289298
2901.232,19286534
2901.261,19287266
2901.290,19292149
2901.320,19291451
2901.349,19286896
2901.378,19292807
2901.408,19290849
2901.437,19288195
2901.466,19289639
2901.496,19284459
2901.525,19287261
2901.554,19285441
2901.584,19287981
2901.613,19293573
2901.642,19293829
2901.672,19289482
2901.701,19293007
2901.730,19292564
2901.760,19288182
2901.789,19292050
2901.818,19288967
2901.848,19290703
2901.877,19298679
2901.906,19291386
2901.935,19291398
2901.965,19282787
2901.994,19290400
2902.023,19288571
2902.053,19289744
2902.082,19289382
2902.111,19289802
2902.141,19289456
2902.170,19294167
2902.199,19288533
2902.229,19292746
2902.258,19293698
2902.287,19285614
2902.317,19292261
2902.346,19288529
2902.375,19291923
2902.405,19286458
2902.434,19292811
2902.463,19292863
2902.493,19294017
2902.522,19290878
2902.551,19296979
2902.581,19291307
2902.610,19292640
2902.639,19288038
2902.669,19283700
2902.698,19288800
2902.727,19297110
2902.757,19291422
2902.786,19287584
2902.815,19294383
2902.845,19296479
2902.874,19292981
2902.903,19292638
2902.933,19293515
2902.962,19295576
2902.991,19290213
2903.021,19293760
2903.050,19289273
2903.079,19297963
2903.109,19294464
2903.138,19293017
2903.167,19290193
2903.196,19291401
2903.226,19296652
2903.255,19295766
2903.284,19292379
2903.314,19291977
2903.343,19293673
2903.372,19290188
2903.402,19290736
2903.431,19292652
2903.460,19296396
2903.490,19292599
2903.519,19293376
2903.548,19294829
2903.578,19294399
2903.607,19295160
2903.636,19290442
2903.666,19294627
2903.695,19289703
2903.724,19291042
2903.754,19294942
2903.783,19293134
2903.812,19294942
2903.842,19297524
2903.871,19300446
2903.900,19298740
2903.930,19291446
2903.959,19290581
2903.988,19293429
2904.018,19290990
2904.047,19293898
2904.076,19293562
2904.106,19295394
2904.135,19293991
2904.164,19296568
2904.194,19294090
2904.223,19290210
2904.252,19295818
2904.282,19290993
2904.311,19292195
2904.340,19291183
2904.370,19295898
2904.399,19293573
2904.428,19295098
2904.457,19296049
2904.487,19293111
2904.516,19294545
2904.545,19293692
2904.575,19292285
2904.604,19294958
2904.633,19292416
2904.663,19296392
2904.692,19298542
2904.721,19295967
2904.751,19292113
2904.780,19294475
2904.809,19292461
2904.839,19294439
2904.868,19294835
2904.897,19293548
2904.927,19296159
2904.956,19293331
2904.985,19299075
2905.015,19295406
2905.044,19292235
2905.073,19295842
2905.103,19291053
2905.132,19290738
2905.161,19291705
2905.191,19292660
2905.220,19292828
2905.249,19290278
2905.279,19296748
2905.308,19291847
2905.337,19293291
2905.367,19295063
2905.396,19294465
2905.425,19291093
2905.455,19295820
2905.484,19304654
2905.513,19295585
2905.543,19292579
2905.572,19298033
2905.601,19293399
2905.630,19292626
2905.660,19296245
2905.689,19295754
2905.718,19294672
2905.748,19296886
2905.777,19295935
2905.806,19297137
2905.836,19293462
2905.865,19288418
2905.894,19292145
2905.924,19292749
2905.953,19297055
2905.982,19289182
2906.012,19297000
2906.041,19297672
2906.070,19292683
2906.100,19293093
2906.129,19292343
2906.158,19296375
2906.188,19293636
2906.217,19296748
2906.246,19299756
2906.276,19293545
2906.305,19297590
2906.334,19292304
2906.364,19290782
2906.393,19299939
2906.422,19294244
2906.452,19289192
2906.481,19293478
2906.510,19292580
2906.540,19295660
2906.569,19292578
2906.598,19291541
2906.628,19295643
2906.657,19300974
2906.686,19298869
2906.716,19294190
2906.745,19297399
2906.774,19288745
2906.804,19290174
2906.833,19295251
2906.862,19298301
2906.891,19291487
2906.921,19295856
2906.950,19297626
2906.979,19296679
2907.009,19288706
2907.038,19291928
2907.067,19290701
2907.097,19294114
2907.126,19294433
2907.155,19293100
2907.185,19294517
2907.214,19294593
2907.243,19295137
2907.273,19296236
2907.302,19295708
2907.331,19300017
2907.361,19297954
2907.390,19295073
2907.419,19294107
2907.449,19298614
2907.478,19293080
2907.507,19293061
2907.537,19296368
2907.566,19296762
2907.595,19297173
2907.625,19294304
2907.654,19295370
2907.683,19291787
2907.713,19296065
2907.742,19295913
2907.771,19295703
2907.801,19301348
2907.830,19294137
2907.859,19291044
2907.889,19291601
2907.918,19296403
2907.947,19294818
2907.977,19301298
2908.006,19298290
2908.035,19295646
2908.065,19295808
2908.094,19294187
2908.123,19296777
2908.152,19299268
2908.182,19294200
2908.211,19297464
2908.240,19299446
2908.270,19296171
2908.299,19297556
2908.328,19294049
2908.358,19298097
2908.387,19294394
2908.416,19296305
2908.446,19298789
2908.475,19299518
2908.504,19301038
2908.534,19295750
2908.563,19294926
2908.592,19298055
2908.622,19292440
2908.651,19295006
2908.680,19290154
2908.710,19297233
2908.739,19297745
2908.768,19293899
2908.798,19293979
2908.827,19299002
2908.856,19293784
2908.886,19296257
2908.915,19295257
2908.944,19292692
2908.974,19298377
2909.003,19292394
2909.032,19295676
2909.062,19298837
2909.091,19297833
2909.120,19297855
2909.150,19293385
2909.179,19286864
2909.208,19296233
2909.238,19292688
2909.267,19299601
2909.296,19302604
2909.326,19299535
2909.355,19297142
2909.384,19296023
2909.413,19298303
2909.443,19298814
2909.472,19298515
2909.501,19295654
2909.531,19295926
2909.560,19295216
2909.589,19292958
2909.619,19294115
2909.648,19291021
2909.677,19300226
2909.707,19300231
2909.736,19300390
2909.765,19297499
2909.795,19288834
2909.824,19292303
2909.853,19294619
2909.883,19298505
2909.912,19300573
2909.941,19296074
2909.971,19301126
2910.000,19296122
